Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
2.0,Fri,2022-08-19,20:00,Espanyol,Rayo Vallecano,0.8,1.4,0–2,16071.0,Jorge Figueroa,2022-2023,Leandro Cabrera,Óscar Trejo,(4-3-3),(4-2-3-1),54%,46%,411 of 510 — 81%,81% — 343 of 426,1 of 13 — 8%,38% — 3 of 8,1 of 3 — 33%,100% — 1 of 1,2.0,1.0,6.5,0.0,12,17,9,2,35,8,583,512,11,7,7,4,19,8,8,36,3,2,8,13,18,14,67,81
2.0,Fri,2022-08-19,22:00,Sevilla,Valladolid,2.0,0.5,1–1,33991.0,Juan Pulido,2022-2023,Fernando,Roque Mesa,(4-3-3),(4-3-3),61%,39%,420 of 524 — 80%,74% — 242 of 329,2 of 18 — 11%,50% — 3 of 6,2 of 3 — 66%,50% — 1 of 2,3.0,1.0,2.0,1.0,20,10,12,2,40,5,618,453,18,20,9,8,16,16,6,28,4,4,5,16,23,12,77,69
2.0,Sat,2022-08-20,17:30,Osasuna,Cádiz,2.7,1.0,2–0,18587.0,Antonio Matéu Lahoz,2022-2023,Unai García,Alfonso Espino,(4-4-2),(4-4-2),55%,45%,342 of 460 — 74%,71% — 265 of 373,1 of 14 — 7%,22% — 2 of 9,2 of 2 — 100%,100% — 1 of 1,2.0,0.0,6.5,0.0,11,13,2,2,22,9,562,498,13,15,14,7,27,16,14,30,0,1,10,11,23,23,101,87
2.0,Sat,2022-08-20,19:30,Mallorca,Betis,0.6,2.1,1–2,15579.0,Pablo González,2022-2023,Antonio Raillo,Nabil Fekir,(5-3-2),(4-2-3-1),48%,52%,309 of 405 — 76%,80% — 350 of 439,7 of 13 — 54%,17% — 1 of 6,1 of 1 — 100%,85% — 6 of 7,7.0,0.0,8.0,0.0,22,17,5,2,21,14,504,547,17,10,14,8,17,10,12,20,4,0,9,6,26,17,64,66
2.0,Sat,2022-08-20,22:00,Celta Vigo,Real Madrid,1.4,3.7,1–4,15681.0,Jesús Gil,2022-2023,Hugo Mallo,Karim Benzema,(4-1-3-2),(4-3-3),51%,49%,501 of 581 — 86%,87% — 492 of 565,1 of 14 — 7%,36% — 5 of 14,2 of 5 — 40%,100% — 1 of 1,2.0,0.0,2.0,0.0,12,8,2,2,23,7,677,687,13,14,7,15,8,5,11,20,0,1,5,10,13,13,43,45
2.0,Sun,2022-08-21,17:30,Athletic Club,Valencia,1.0,0.7,1–0,43333.0,César Soto,2022-2023,Iker Muniain,Carlos Soler,(4-2-3-1),(4-3-3),38%,62%,250 of 349 — 72%,82% — 472 of 573,2 of 12 — 17%,0% — 0 of 10,0 of 0 — %,50% — 1 of 2,5.0,0.0,2.0,0.0,11,15,6,3,17,28,464,676,17,15,10,7,18,9,23,15,6,0,12,7,19,26,62,72
2.0,Sun,2022-08-21,19:30,Atlético Madrid,Villarreal,1.6,1.8,0–2,57033.0,Ricardo de Burgos,2022-2023,Koke,Raúl Albiol,(3-1-4-2),(4-4-2),51%,49%,437 of 527 — 83%,89% — 456 of 511,5 of 13 — 38%,26% — 5 of 19,3 of 5 — 60%,100% — 5 of 5,2.0,1.0,3.0,0.0,8,11,5,6,30,9,619,634,18,6,2,12,12,11,11,32,2,1,7,12,16,5,46,62
2.0,Sun,2022-08-21,22:00,Real Sociedad,Barcelona,0.8,2.1,1–4,36201.0,José Luis Munuera,2022-2023,Aritz Elustondo,Marc-André ter Stegen,(4-1-2-1-2),(3-2-4-1),42%,58%,337 of 419 — 80%,89% — 522 of 587,5 of 10 — 50%,47% — 7 of 15,3 of 7 — 42%,80% — 4 of 5,2.0,0.0,1.0,0.0,15,9,3,6,10,8,517,704,25,20,5,12,8,7,12,14,5,1,4,5,18,24,36,70
2.0,Mon,2022-08-22,20:00,Elche,Almería,1.0,0.7,1–1,23361.0,Isidro Díaz de Mera,2022-2023,Édgar Badía,Srđan Babić,(4-4-2),(3-4-1-2),54%,46%,378 of 473 — 80%,79% — 315 of 398,3 of 13 — 23%,58% — 7 of 12,6 of 7 — 85%,66% — 2 of 3,1.0,0.0,4.0,1.0,12,16,6,5,23,12,574,502,14,11,8,11,9,7,11,23,7,3,3,14,14,17,67,49
2.0,Mon,2022-08-22,22:00,Girona,Getafe,1.1,0.6,3–1,10460.0,Alejandro Muñíz,2022-2023,Cristhian Stuani,Djené,(3-1-4-2),(5-3-2),66%,34%,503 of 583 — 86%,71% — 213 of 299,6 of 12 — 50%,43% — 3 of 7,2 of 3 — 66%,66% — 4 of 6,2.0,0.0,6.0,1.0,16,18,5,2,16,14,679,392,13,16,5,5,8,16,21,20,2,1,5,7,12,22,64,62
3.0,Fri,2022-08-26,20:00,Girona,Celta Vigo,1.0,1.0,0–1,11329.0,Carlos del Cerro,2022-2023,Cristhian Stuani,Hugo Mallo,(4-4-2),(4-1-3-2),53%,47%,466 of 560 — 83%,80% — 392 of 491,3 of 11 — 27%,55% — 6 of 11,5 of 6 — 83%,100% — 3 of 3,2.0,0.0,1.0,0.0,16,13,2,4,18,13,655,593,20,15,5,7,11,10,12,12,1,1,4,7,18,21,81,78
3.0,Fri,2022-08-26,22:00,Betis,Osasuna,0.5,1.3,1–0,52580.0,Juan Martínez,2022-2023,Nabil Fekir,David García,(4-2-3-1),(4-4-1-1),55%,45%,408 of 504 — 81%,75% — 313 of 418,1 of 7 — 14%,17% — 2 of 12,2 of 2 — 100%,0% — 0 of 1,0.0,1.0,3.0,0.0,9,21,2,4,9,25,612,518,14,17,11,10,14,10,31,14,2,1,9,13,25,22,56,73
3.0,Sat,2022-08-27,17:30,Elche,Real Sociedad,0.7,1.8,0–1,22656.0,Javier Villanueva,2022-2023,Édgar Badía,Mikel Merino,(4-4-2),(4-1-2-1-2),45%,55%,325 of 416 — 78%,82% — 414 of 503,5 of 12 — 42%,50% — 4 of 8,3 of 4 — 75%,100% — 5 of 5,3.0,0.0,3.0,0.0,14,18,4,6,13,12,540,627,17,26,7,11,11,6,14,13,2,4,6,6,25,14,62,53
3.0,Sat,2022-08-27,19:30,Rayo Vallecano,Mallorca,0.7,0.8,0–2,10944.0,José Sánchez,2022-2023,Óscar Trejo,Antonio Raillo,(4-2-3-1),(5-3-2),65%,35%,486 of 614 — 79%,72% — 239 of 334,0 of 15 — 0%,44% — 4 of 9,2 of 4 — 50%,% — 0 of 0,1.0,0.0,3.0,0.0,11,18,7,3,46,10,715,462,14,8,10,18,11,13,11,41,1,2,6,8,24,17,84,62
3.0,Sat,2022-08-27,22:00,Almería,Sevilla,2.3,1.0,2–1,13788.0,Jesús Gil,2022-2023,Srđan Babić,Jesús Navas,(3-4-1-2),(4-2-2-2),33%,67%,195 of 286 — 68%,86% — 507 of 592,5 of 11 — 45%,38% — 5 of 13,4 of 5 — 80%,60% — 3 of 5,5.0,0.0,8.0,0.0,18,11,5,2,14,22,374,675,9,7,6,4,11,15,16,8,4,5,8,6,17,13,62,57
3.0,Sun,2022-08-28,17:30,Getafe,Villarreal,0.3,1.1,0–0,9815.0,Jorge Figueroa,2022-2023,Djené,Raúl Albiol,(4-4-2),(4-4-2),36%,64%,211 of 300 — 70%,85% — 447 of 527,2 of 8 — 25%,55% — 6 of 11,6 of 6 — 100%,100% — 2 of 2,1.0,0.0,5.0,0.0,11,19,1,4,10,12,375,605,15,7,2,7,5,9,14,10,5,0,8,7,20,25,74,54
3.0,Sun,2022-08-28,19:30,Barcelona,Valladolid,2.6,0.8,4–0,83972.0,Ricardo de Burgos,2022-2023,Sergio Busquets,Jordi Masip,(4-3-3),(4-1-4-1),67%,33%,602 of 694 — 87%,73% — 252 of 346,9 of 24 — 38%,25% — 2 of 8,2 of 2 — 100%,55% — 5 of 9,0.0,0.0,3.0,0.0,9,8,14,4,30,10,805,472,15,22,7,9,13,8,5,28,1,3,5,15,24,24,65,43
3.0,Sun,2022-08-28,22:00,Espanyol,Real Madrid,1.3,2.1,1–3,25778.0,Mario Melero,2022-2023,Leandro Cabrera,Karim Benzema,(4-1-4-1),(4-3-3),36%,64%,253 of 337 — 75%,88% — 530 of 605,4 of 15 — 27%,32% — 6 of 19,3 of 6 — 50%,75% — 3 of 4,0.0,1.0,0.0,0.0,15,12,7,7,17,18,456,700,22,8,6,5,7,13,19,12,0,6,2,11,15,18,72,65
3.0,Mon,2022-08-29,20:00,Cádiz,Athletic Club,0.4,2.4,0–4,17029.0,Miguel Ángel Ortiz Arias,2022-2023,José Mari,Iker Muniain,(4-4-2),(4-2-3-1),38%,62%,283 of 378 — 75%,85% — 524 of 613,3 of 9 — 33%,37% — 7 of 19,3 of 7 — 42%,100% — 3 of 3,2.0,0.0,1.0,0.0,18,4,0,6,13,19,488,728,12,15,9,6,19,11,14,18,0,3,10,2,25,14,72,71
3.0,Mon,2022-08-29,22:00,Valencia,Atlético Madrid,0.5,1.5,0–1,43910.0,Guillermo Cuadra,2022-2023,Carlos Soler,Koke,(4-2-3-1),(5-3-2),69%,31%,539 of 635 — 85%,71% — 203 of 284,2 of 12 — 17%,54% — 7 of 13,6 of 7 — 85%,100% — 2 of 2,4.0,0.0,3.0,0.0,15,17,6,2,28,6,719,388,5,18,7,8,11,10,3,33,1,7,5,6,19,20,86,56
4.0,Fri,2022-09-02,21:00,Celta Vigo,Cádiz,0.7,0.3,3–0,14510.0,Juan Pulido,2022-2023,Hugo Mallo,Alfonso Espino,(4-1-3-2),(4-1-4-1),58%,42%,474 of 571 — 83%,78% — 327 of 420,5 of 9 — 56%,0% — 0 of 7,0 of 0 — %,40% — 2 of 5,1.0,0.0,2.0,0.0,13,23,2,2,15,12,661,516,22,18,7,9,10,16,11,10,4,1,7,4,16,25,88,68
4.0,Sat,2022-09-03,14:00,Mallorca,Girona,0.7,1.2,1–1,13390.0,Isidro Díaz de Mera,2022-2023,Antonio Raillo,Juanpe,(5-3-2),(3-4-3),51%,49%,368 of 447 — 82%,83% — 355 of 428,4 of 10 — 40%,33% — 3 of 9,3 of 3 — 100%,75% — 3 of 4,4.0,0.0,2.0,0.0,22,10,6,3,19,9,526,515,17,11,7,9,12,12,15,13,1,2,10,7,14,21,53,40
4.0,Sat,2022-09-03,16:15,Real Madrid,Betis,2.9,0.5,2–1,58579.0,José Sánchez,2022-2023,Karim Benzema,Andrés Guardado,(4-3-3),(4-2-3-1),49%,51%,469 of 532 — 88%,87% — 477 of 548,4 of 22 — 18%,50% — 4 of 8,3 of 4 — 75%,50% — 2 of 4,0.0,0.0,1.0,0.0,8,12,9,2,16,5,637,669,24,28,12,8,10,6,3,17,2,3,4,15,11,16,44,57
4.0,Sat,2022-09-03,18:30,Real Sociedad,Atlético Madrid,1.4,1.1,1–1,35366.0,César Soto,2022-2023,Mikel Merino,Koke,(4-1-2-1-2),(3-1-4-2),54%,46%,367 of 482 — 76%,74% — 300 of 405,5 of 12 — 42%,47% — 7 of 15,6 of 7 — 85%,80% — 4 of 5,5.0,0.0,4.0,0.0,18,13,7,6,14,14,586,516,21,16,8,8,11,22,9,19,4,0,4,8,23,26,86,67
4.0,Sat,2022-09-03,21:00,Sevilla,Barcelona,1.0,4.0,0–3,40233.0,Antonio Matéu Lahoz,2022-2023,Ivan Rakitić,Sergio Busquets,(4-3-3),(4-3-3),46%,54%,313 of 410 — 76%,82% — 393 of 478,4 of 9 — 44%,28% — 5 of 18,2 of 5 — 40%,100% — 4 of 4,2.0,0.0,4.0,0.0,15,14,4,4,15,10,505,589,21,11,17,13,5,7,8,10,6,2,14,4,19,15,69,78
4.0,Sun,2022-09-04,14:00,Osasuna,Rayo Vallecano,2.4,0.2,2–1,18745.0,Alejandro Muñíz,2022-2023,Unai García,Óscar Trejo,(4-4-2),(4-2-3-1),47%,53%,264 of 380 — 69%,76% — 326 of 429,5 of 13 — 38%,60% — 3 of 5,2 of 3 — 66%,60% — 3 of 5,2.0,0.0,2.0,0.0,14,16,4,0,18,12,472,526,16,14,10,11,17,16,14,21,3,2,4,8,27,22,86,77
4.0,Sun,2022-09-04,16:15,Athletic Club,Espanyol,1.2,0.6,0–1,41574.0,Juan Martínez,2022-2023,Iker Muniain,Leandro Cabrera,(4-2-3-1),(4-3-3),66%,34%,511 of 633 — 81%,66% — 214 of 323,2 of 17 — 12%,22% — 2 of 9,1 of 2 — 50%,100% — 2 of 2,3.0,0.0,2.0,0.0,12,12,4,2,31,9,736,455,14,16,6,21,14,19,13,39,3,2,4,14,31,19,60,86
4.0,Sun,2022-09-04,18:30,Villarreal,Elche,3.4,0.6,4–0,13915.0,Miguel Ángel Ortiz Arias,2022-2023,Raúl Albiol,Édgar Badía,(4-4-2),(4-4-2),53%,47%,426 of 506 — 84%,84% — 377 of 451,10 of 18 — 56%,0% — 0 of 7,0 of 0 — %,60% — 6 of 10,1.0,0.0,3.0,0.0,10,9,6,4,15,25,617,554,21,19,3,11,8,8,20,22,5,2,8,7,11,17,62,50
4.0,Sun,2022-09-04,21:00,Valencia,Getafe,2.3,0.2,5–1,38725.0,José Luis Munuera,2022-2023,Toni Lato,Djené,(4-3-3),(4-4-2),69%,31%,504 of 584 — 86%,70% — 182 of 261,9 of 24 — 38%,57% — 4 of 7,3 of 4 — 75%,44% — 4 of 9,4.5,0.0,7.5,0.0,11,22,9,1,22,15,662,339,10,6,8,4,15,16,8,16,1,1,2,6,11,16,77,64
4.0,Mon,2022-09-05,21:00,Valladolid,Almería,1.2,0.5,1–0,20260.0,Pablo González,2022-2023,Roque Mesa,César de la Hoz,(4-3-3),(4-2-3-1),51%,49%,306 of 405 — 76%,73% — 284 of 387,6 of 14 — 43%,0% — 0 of 12,0 of 0 — %,83% — 5 of 6,1.0,0.0,6.0,0.0,11,19,2,8,20,25,525,491,20,12,12,9,14,21,18,17,6,4,10,12,14,28,74,83
5.0,Fri,2022-09-09,21:00,Girona,Valladolid,1.9,0.5,2–1,10053.0,César Soto,2022-2023,Juanpe,Roque Mesa,(3-4-3),(4-1-4-1),45%,55%,303 of 396 — 77%,80% — 395 of 492,5 of 14 — 36%,29% — 4 of 14,3 of 4 — 75%,60% — 3 of 5,0.0,0.0,2.0,0.0,11,15,3,12,13,27,519,612,23,16,9,16,17,14,26,17,3,0,4,8,18,28,51,77
5.0,Sat,2022-09-10,14:00,Rayo Vallecano,Valencia,1.7,1.7,2–1,12085.0,Jesús Gil,2022-2023,Óscar Trejo,José Luis Gayà,(4-2-3-1),(4-2-3-1),46%,54%,240 of 345 — 70%,75% — 303 of 402,6 of 14 — 43%,24% — 4 of 17,3 of 4 — 75%,83% — 5 of 6,5.0,0.0,2.0,0.0,22,11,7,7,24,23,478,545,16,17,11,6,9,19,18,26,1,2,11,10,30,27,91,72
5.0,Sat,2022-09-10,16:15,Espanyol,Sevilla,2.5,2.0,2–3,20135.0,Guillermo Cuadra,2022-2023,Leandro Cabrera,Fernando,(4-2-3-1),(4-2-3-1),58%,42%,365 of 476 — 77%,73% — 246 of 339,4 of 18 — 22%,64% — 7 of 11,4 of 7 — 57%,75% — 3 of 4,4.0,0.0,6.5,0.0,11,14,9,3,38,9,582,453,11,18,9,8,17,8,12,38,3,1,3,10,24,28,100,70
5.0,Sat,2022-09-10,18:30,Cádiz,Barcelona,0.4,3.4,0–4,19530.0,Carlos del Cerro,2022-2023,Álex Fernández,Sergio Busquets,(4-2-3-1),(4-3-3),30%,70%,161 of 263 — 61%,84% — 508 of 606,0 of 6 — 0%,50% — 8 of 16,4 of 8 — 50%,% — 0 of 0,1.0,0.0,2.0,0.0,12,13,5,6,15,10,373,708,17,9,12,7,13,17,16,20,3,3,8,10,17,21,66,79
5.0,Sat,2022-09-10,21:00,Atlético Madrid,Celta Vigo,0.7,1.7,4–1,52247.0,Alejandro Hernández,2022-2023,Mario Hermoso,Hugo Mallo,(5-3-2),(4-1-3-2),46%,54%,404 of 495 — 82%,85% — 500 of 591,4 of 10 — 40%,21% — 3 of 14,2 of 3 — 66%,25% — 1 of 4,2.0,0.0,3.0,0.0,11,6,4,7,7,24,599,696,15,13,12,9,12,10,26,11,0,1,10,2,18,23,72,70
5.0,Sun,2022-09-11,14:00,Real Madrid,Mallorca,2.3,0.5,4–1,54816.0,Jorge Figueroa,2022-2023,Toni Kroos,Antonio Raillo,(4-3-3),(5-3-2),68%,32%,617 of 676 — 91%,79% — 252 of 318,7 of 22 — 32%,40% — 2 of 5,1 of 2 — 50%,42% — 3 of 7,3.0,0.0,5.0,0.0,7,15,4,3,7,12,763,419,12,20,4,12,5,4,6,19,0,1,2,10,15,8,32,55
5.0,Sun,2022-09-11,16:15,Elche,Athletic Club,0.9,2.7,1–4,24176.0,Mario Melero,2022-2023,Édgar Badía,Iker Muniain,(4-2-3-1),(4-2-3-1),47%,53%,347 of 437 — 79%,79% — 390 of 494,2 of 9 — 22%,47% — 7 of 15,5 of 7 — 71%,50% — 1 of 2,3.0,0.0,0.0,0.0,15,9,5,5,21,17,551,590,18,15,16,8,10,9,11,14,2,5,7,7,21,19,70,74
5.0,Sun,2022-09-11,18:30,Getafe,Real Sociedad,1.1,1.2,2–1,11112.0,Juan Pulido,2022-2023,Damián Suárez,Mikel Merino,(5-3-2),(4-1-2-1-2),34%,66%,197 of 290 — 68%,83% — 463 of 558,2 of 7 — 29%,46% — 6 of 13,5 of 6 — 83%,0% — 0 of 2,4.0,0.0,1.0,0.0,9,16,3,7,11,26,391,657,18,18,11,3,17,21,20,17,1,0,12,6,27,24,67,81
5.0,Sun,2022-09-11,21:00,Betis,Villarreal,1.4,1.7,1–0,53276.0,Ricardo de Burgos,2022-2023,Sergio Canales,Raúl Albiol,(4-2-3-1),(4-4-2),47%,53%,339 of 415 — 82%,82% — 381 of 465,5 of 16 — 31%,14% — 2 of 14,2 of 2 — 100%,80% — 4 of 5,1.0,0.0,1.0,0.0,11,14,9,8,21,24,530,571,16,17,11,9,10,13,31,24,4,6,7,6,13,17,45,44
5.0,Mon,2022-09-12,21:00,Almería,Osasuna,0.2,2.0,0–1,12397.0,Javier Villanueva,2022-2023,Srđan Babić,David García,(4-3-3),(4-2-3-1),61%,39%,473 of 581 — 81%,70% — 263 of 378,2 of 7 — 29%,27% — 4 of 15,3 of 4 — 75%,100% — 2 of 2,0.0,0.0,2.0,0.0,4,9,5,10,19,27,694,489,13,15,10,10,19,13,24,20,2,3,11,7,19,23,80,89
6.0,Fri,2022-09-16,21:00,Valladolid,Cádiz,1.5,0.3,0–1,20295.0,José Sánchez,2022-2023,Roque Mesa,Álex Fernández,(4-3-3),(4-2-3-1),57%,43%,382 of 474 — 81%,73% — 257 of 354,6 of 18 — 33%,14% — 1 of 7,0 of 1 — 0%,100% — 6 of 6,1.0,0.0,4.0,0.0,12,19,8,2,33,16,586,456,21,18,2,2,9,14,15,23,2,2,7,10,21,18,95,71
6.0,Sat,2022-09-17,14:00,Mallorca,Almería,0.6,0.4,1–0,12687.0,Juan Martínez,2022-2023,Antonio Raillo,Srđan Babić,(5-3-2),(5-3-2),44%,56%,339 of 422 — 80%,85% — 448 of 530,2 of 5 — 40%,22% — 2 of 9,2 of 2 — 100%,50% — 1 of 2,3.0,0.0,6.0,0.0,15,14,5,2,15,16,510,618,10,18,7,5,9,6,14,9,2,3,12,5,13,20,74,64
6.0,Sat,2022-09-17,16:15,Barcelona,Elche,3.9,0.0,3–0,85073.0,Alejandro Muñíz,2022-2023,Marc-André ter Stegen,Gonzalo Verdú,(4-3-3),(5-4-1),76%,24%,676 of 762 — 89%,65% — 153 of 236,9 of 25 — 36%,100% — 1 of 1,1 of 1 — 100%,66% — 6 of 9,2.0,0.0,2.0,1.0,11,9,6,0,22,3,864,340,14,14,12,12,9,7,1,19,5,3,1,13,23,16,46,67
6.0,Sat,2022-09-17,18:30,Valencia,Celta Vigo,1.7,0.5,3–0,40965.0,Pablo González,2022-2023,José Luis Gayà,Hugo Mallo,(4-3-3),(4-1-3-2),65%,35%,415 of 509 — 82%,68% — 190 of 279,7 of 14 — 50%,33% — 2 of 6,2 of 2 — 100%,57% — 4 of 7,3.0,0.0,2.0,1.0,18,23,5,4,20,12,608,388,16,20,4,9,13,15,12,20,2,0,8,5,21,23,75,62
6.0,Sat,2022-09-17,21:00,Athletic Club,Rayo Vallecano,1.9,0.7,3–2,43484.0,Antonio Matéu Lahoz,2022-2023,Iker Muniain,Óscar Trejo,(4-2-3-1),(4-2-3-1),39%,61%,262 of 360 — 73%,80% — 448 of 557,7 of 14 — 50%,18% — 2 of 11,0 of 2 — 0%,57% — 4 of 7,1.0,0.0,2.0,0.0,13,13,2,7,12,31,480,656,12,16,12,9,15,10,24,10,3,3,5,5,20,22,63,66
6.0,Sun,2022-09-18,14:00,Osasuna,Getafe,0.5,0.8,0–2,18255.0,Isidro Díaz de Mera,2022-2023,Unai García,Damián Suárez,(4-2-3-1),(5-3-2),55%,45%,392 of 513 — 76%,78% — 320 of 412,4 of 12 — 33%,40% — 4 of 10,2 of 4 — 50%,100% — 4 of 4,7.0,1.0,4.5,0.0,15,15,8,1,35,11,603,533,11,9,3,10,17,27,15,43,1,0,10,2,20,17,73,75
6.0,Sun,2022-09-18,16:15,Villarreal,Sevilla,1.5,0.6,1–1,18292.0,Alejandro Hernández,2022-2023,Raúl Albiol,Jesús Navas,(4-4-2),(4-2-3-1),46%,54%,327 of 422 — 77%,82% — 408 of 499,6 of 17 — 35%,8% — 1 of 12,0 of 1 — 0%,83% — 5 of 6,1.0,0.0,5.0,0.0,15,12,6,4,21,16,521,616,20,13,7,11,10,7,15,25,1,6,7,8,22,16,52,64
6.0,Sun,2022-09-18,18:30,Real Sociedad,Espanyol,1.9,0.8,2–1,31511.0,Carlos del Cerro,2022-2023,Aritz Elustondo,Sergi Darder,(4-1-3-2),(5-3-2),62%,38%,457 of 568 — 80%,66% — 228 of 343,6 of 14 — 43%,29% — 4 of 14,3 of 4 — 75%,66% — 4 of 6,3.0,0.0,0.0,0.0,18,8,4,2,13,19,669,452,13,18,6,16,24,25,23,11,2,3,8,8,24,20,83,96
